Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
Salawara Double,Half Light,980.0,Turkish Coffee,Light Roast,Lot #641,Belur,Double Fermented,"Lot #641 Location – Belur, Karnataka Altitude – 1035 - 1125 Masl Varietal – Kents, SLN 795 Process – Naturals | Culture Double Fermented | 72 Hours Cup Notes – Muskmelon, Strawberry Marmalade Roast Profile – Light Net wt. - 250 g | 8.8 oz Introducing latest coffee release from Salawara Estate , located in the lush Western Ghats of India. Established in the late 1880s, this 145-hectare estate has been producing high-quality coffee for generations. Intercropped with pepper, Areca nut, oranges, and silver oak, Salawara’s coffee offers a unique balance of flavours, earning the Best Quality Bean Award from Ernesto Illy in 2018. ""Salawara,"" meaning ""a string of blessings,"" captures the rich tradition and passion behind this exceptional Indian specialty coffee .",https://halflightcoffee.com/products/salawara-double,https://cdn.shopify.com/s/files/1/0575/8976/0188/files/Salawara_Double.jpg?v=1782500036,Coffee
Salawara Double,Half Light,980.0,Vietnamese Coffee,Light Roast,Lot #641,Belur,Double Fermented,"Lot #641 Location – Belur, Karnataka Altitude – 1035 - 1125 Masl Varietal – Kents, SLN 795 Process – Naturals | Culture Double Fermented | 72 Hours Cup Notes – Muskmelon, Strawberry Marmalade Roast Profile – Light Net wt. - 250 g | 8.8 oz Introducing latest coffee release from Salawara Estate , located in the lush Western Ghats of India. Established in the late 1880s, this 145-hectare estate has been producing high-quality coffee for generations. Intercropped with pepper, Areca nut, oranges, and silver oak, Salawara’s coffee offers a unique balance of flavours, earning the Best Quality Bean Award from Ernesto Illy in 2018. ""Salawara,"" meaning ""a string of blessings,"" captures the rich tradition and passion behind this exceptional Indian specialty coffee .",https://halflightcoffee.com/products/salawara-double,https://cdn.shopify.com/s/files/1/0575/8976/0188/files/Salawara_Double.jpg?v=1782500036,Coffee
Salawara Double,Half Light,980.0,,Light Roast,Lot #641,Belur,Double Fermented,"Lot #641 Location – Belur, Karnataka Altitude – 1035 - 1125 Masl Varietal – Kents, SLN 795 Process – Naturals | Culture Double Fermented | 72 Hours Cup Notes – Muskmelon, Strawberry Marmalade Roast Profile – Light Net wt. - 250 g | 8.8 oz Introducing latest coffee release from Salawara Estate , located in the lush Western Ghats of India. Established in the late 1880s, this 145-hectare estate has been producing high-quality coffee for generations. Intercropped with pepper, Areca nut, oranges, and silver oak, Salawara’s coffee offers a unique balance of flavours, earning the Best Quality Bean Award from Ernesto Illy in 2018. ""Salawara,"" meaning ""a string of blessings,"" captures the rich tradition and passion behind this exceptional Indian specialty coffee .",https://halflightcoffee.com/products/salawara-double,https://cdn.shopify.com/s/files/1/0575/8976/0188/files/Salawara_Double.jpg?v=1782500036,Coffee
Salawara Bio Reactor,Half Light,950.0,Select a grind size,Light Roast,Lot #713,Belur,Natural,"Lot #713 Location – Belur, Karnataka Altitude – 1035 - 1125 Masl Varietal – SLN 795 Process – Naturals | Bio Reactor Yeast | 48 Hours Cup Notes – Seabuckthorn Juice, Wild Honey, Lemon Zest Roast Profile – Light Net wt. - 250 g | 8.8 oz Introducing latest coffee release from Salawara Estate , located in the lush Western Ghats of India. Established in the late 1880s, this 145-hectare estate has been producing high-quality coffee for generations. Intercropped with pepper, Areca nut, oranges, and silver oak, Salawara’s coffee offers a unique balance of flavours, earning the Best Quality Bean Award from Ernesto Illy in 2018. ""Salawara,"" meaning ""a string of blessings,"" captures the rich tradition and passion behind this exceptional Indian specialty coffee .",https://halflightcoffee.com/products/salawara-bio-reactor,https://cdn.shopify.com/s/files/1/0575/8976/0188/files/Salawara_Bio_Reactor.jpg?v=1782500035,Coffee
Salawara Bio Reactor,Half Light,950.0,,Light Roast,Lot #713,Belur,Natural,"Lot #713 Location – Belur, Karnataka Altitude – 1035 - 1125 Masl Varietal – SLN 795 Process – Naturals | Bio Reactor Yeast | 48 Hours Cup Notes – Seabuckthorn Juice, Wild Honey, Lemon Zest Roast Profile – Light Net wt. - 250 g | 8.8 oz Introducing latest coffee release from Salawara Estate , located in the lush Western Ghats of India. Established in the late 1880s, this 145-hectare estate has been producing high-quality coffee for generations. Intercropped with pepper, Areca nut, oranges, and silver oak, Salawara’s coffee offers a unique balance of flavours, earning the Best Quality Bean Award from Ernesto Illy in 2018. ""Salawara,"" meaning ""a string of blessings,"" captures the rich tradition and passion behind this exceptional Indian specialty coffee .",https://halflightcoffee.com/products/salawara-bio-reactor,https://cdn.shopify.com/s/files/1/0575/8976/0188/files/Salawara_Bio_Reactor.jpg?v=1782500035,Coffee
Salawara Bio Reactor,Half Light,950.0,,Light Roast,Lot #713,Belur,Natural,"Lot #713 Location – Belur, Karnataka Altitude – 1035 - 1125 Masl Varietal – SLN 795 Process – Naturals | Bio Reactor Yeast | 48 Hours Cup Notes – Seabuckthorn Juice, Wild Honey, Lemon Zest Roast Profile – Light Net wt. - 250 g | 8.8 oz Introducing latest coffee release from Salawara Estate , located in the lush Western Ghats of India. Established in the late 1880s, this 145-hectare estate has been producing high-quality coffee for generations. Intercropped with pepper, Areca nut, oranges, and silver oak, Salawara’s coffee offers a unique balance of flavours, earning the Best Quality Bean Award from Ernesto Illy in 2018. ""Salawara,"" meaning ""a string of blessings,"" captures the rich tradition and passion behind this exceptional Indian specialty coffee .",https://halflightcoffee.com/products/salawara-bio-reactor,https://cdn.shopify.com/s/files/1/0575/8976/0188/files/Salawara_Bio_Reactor.jpg?v=1782500035,Coffee
Salawara Bio Reactor,Half Light,950.0,,Light Roast,Lot #713,Belur,Natural,"Lot #713 Location – Belur, Karnataka Altitude – 1035 - 1125 Masl Varietal – SLN 795 Process – Naturals | Bio Reactor Yeast | 48 Hours Cup Notes – Seabuckthorn Juice, Wild Honey, Lemon Zest Roast Profile – Light Net wt. - 250 g | 8.8 oz Introducing latest coffee release from Salawara Estate , located in the lush Western Ghats of India. Established in the late 1880s, this 145-hectare estate has been producing high-quality coffee for generations. Intercropped with pepper, Areca nut, oranges, and silver oak, Salawara’s coffee offers a unique balance of flavours, earning the Best Quality Bean Award from Ernesto Illy in 2018. ""Salawara,"" meaning ""a string of blessings,"" captures the rich tradition and passion behind this exceptional Indian specialty coffee .",https://halflightcoffee.com/products/salawara-bio-reactor,https://cdn.shopify.com/s/files/1/0575/8976/0188/files/Salawara_Bio_Reactor.jpg?v=1782500035,Coffee
Salawara Bio Reactor,Half Light,950.0,,Light Roast,Lot #713,Belur,Natural,"Lot #713 Location – Belur, Karnataka Altitude – 1035 - 1125 Masl Varietal – SLN 795 Process – Naturals | Bio Reactor Yeast | 48 Hours Cup Notes – Seabuckthorn Juice, Wild Honey, Lemon Zest Roast Profile – Light Net wt. - 250 g | 8.8 oz Introducing latest coffee release from Salawara Estate , located in the lush Western Ghats of India. Established in the late 1880s, this 145-hectare estate has been producing high-quality coffee for generations. Intercropped with pepper, Areca nut, oranges, and silver oak, Salawara’s coffee offers a unique balance of flavours, earning the Best Quality Bean Award from Ernesto Illy in 2018. ""Salawara,"" meaning ""a string of blessings,"" captures the rich tradition and passion behind this exceptional Indian specialty coffee .",https://halflightcoffee.com/products/salawara-bio-reactor,https://cdn.shopify.com/s/files/1/0575/8976/0188/files/Salawara_Bio_Reactor.jpg?v=1782500035,Coffee
Salawara Bio Reactor,Half Light,950.0,,Light Roast,Lot #713,Belur,Natural,"Lot #713 Location – Belur, Karnataka Altitude – 1035 - 1125 Masl Varietal – SLN 795 Process – Naturals | Bio Reactor Yeast | 48 Hours Cup Notes – Seabuckthorn Juice, Wild Honey, Lemon Zest Roast Profile – Light Net wt. - 250 g | 8.8 oz Introducing latest coffee release from Salawara Estate , located in the lush Western Ghats of India. Established in the late 1880s, this 145-hectare estate has been producing high-quality coffee for generations. Intercropped with pepper, Areca nut, oranges, and silver oak, Salawara’s coffee offers a unique balance of flavours, earning the Best Quality Bean Award from Ernesto Illy in 2018. ""Salawara,"" meaning ""a string of blessings,"" captures the rich tradition and passion behind this exceptional Indian specialty coffee .",https://halflightcoffee.com/products/salawara-bio-reactor,https://cdn.shopify.com/s/files/1/0575/8976/0188/files/Salawara_Bio_Reactor.jpg?v=1782500035,Coffee
Salawara Bio Reactor,Half Light,950.0,,Light Roast,Lot #713,Belur,Natural,"Lot #713 Location – Belur, Karnataka Altitude – 1035 - 1125 Masl Varietal – SLN 795 Process – Naturals | Bio Reactor Yeast | 48 Hours Cup Notes – Seabuckthorn Juice, Wild Honey, Lemon Zest Roast Profile – Light Net wt. - 250 g | 8.8 oz Introducing latest coffee release from Salawara Estate , located in the lush Western Ghats of India. Established in the late 1880s, this 145-hectare estate has been producing high-quality coffee for generations. Intercropped with pepper, Areca nut, oranges, and silver oak, Salawara’s coffee offers a unique balance of flavours, earning the Best Quality Bean Award from Ernesto Illy in 2018. ""Salawara,"" meaning ""a string of blessings,"" captures the rich tradition and passion behind this exceptional Indian specialty coffee .",https://halflightcoffee.com/products/salawara-bio-reactor,https://cdn.shopify.com/s/files/1/0575/8976/0188/files/Salawara_Bio_Reactor.jpg?v=1782500035,Coffee
