Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
Kora Zinfandel - Roasted on 17/06,Caffinary,170.0,50g,Medium Roast,,Koraput,"it themselves, on their land, with their hands","We have a new daily favourite for the pour-over lovers in the house At the cupping table, we expected what a well-processed washed coffee typically delivers: clean, chcoolatey, nutty, classic. What we got instead was a cup so fruit-forward it made us double-check the coffee. It's washed, and Ajay, the Q grader, verified this in his cupping notes. This coffee comes from the members of Duduma Farmers Producer Company, rooted in the Lamtaput and Nandapur blocks of Koraput district, Odisha. A community of 841 farmer members — 561 of them coffee growers — 80% from Scheduled Tribes communities, over 62% women . They don't just grow this coffee. They process it themselves, on their land, with their hands. With the intention to keep the value in the hands of the growers, we don't buy cherries. We source only what the community grows and processes — and when the quality meets specialty grade, we pay accordingly. This harvest earned a 15–20% premium over prevailing market prices. The cup earned it. We roasted this to a medium profile to let the fruitiness come forward cleanly. The result is a cup with gentle acidity, warmth, and just enough complexity to keep you interested — morning or evening, pour-over, Aeropress or even a fruity cold brew. A washed coffee that forgot the rules. Our favourite kind. Taste Profile Citrus, Chocolate, Slightly Fruity, Plum like, Nutty Origin Lamtaput, Koraput, Odisha Processing Traditional Washed Elevation 3000+ ft",https://caffinary.com/products/kora-zinfandel,https://cdn.shopify.com/s/files/1/0617/6273/2232/files/KZ-Tsp-Card_960ccbc0-565e-4155-852c-1027506d1a7f.png?v=1778093670,Coffee
Kora Zinfandel - Roasted on 17/06,Caffinary,320.0,100g,Medium Roast,,Koraput,"it themselves, on their land, with their hands","We have a new daily favourite for the pour-over lovers in the house At the cupping table, we expected what a well-processed washed coffee typically delivers: clean, chcoolatey, nutty, classic. What we got instead was a cup so fruit-forward it made us double-check the coffee. It's washed, and Ajay, the Q grader, verified this in his cupping notes. This coffee comes from the members of Duduma Farmers Producer Company, rooted in the Lamtaput and Nandapur blocks of Koraput district, Odisha. A community of 841 farmer members — 561 of them coffee growers — 80% from Scheduled Tribes communities, over 62% women . They don't just grow this coffee. They process it themselves, on their land, with their hands. With the intention to keep the value in the hands of the growers, we don't buy cherries. We source only what the community grows and processes — and when the quality meets specialty grade, we pay accordingly. This harvest earned a 15–20% premium over prevailing market prices. The cup earned it. We roasted this to a medium profile to let the fruitiness come forward cleanly. The result is a cup with gentle acidity, warmth, and just enough complexity to keep you interested — morning or evening, pour-over, Aeropress or even a fruity cold brew. A washed coffee that forgot the rules. Our favourite kind. Taste Profile Citrus, Chocolate, Slightly Fruity, Plum like, Nutty Origin Lamtaput, Koraput, Odisha Processing Traditional Washed Elevation 3000+ ft",https://caffinary.com/products/kora-zinfandel,https://cdn.shopify.com/s/files/1/0617/6273/2232/files/KZ-Tsp-Card_960ccbc0-565e-4155-852c-1027506d1a7f.png?v=1778093670,Coffee
Kora Zinfandel - Roasted on 17/06,Caffinary,510.0,150g,Medium Roast,,Koraput,"it themselves, on their land, with their hands","We have a new daily favourite for the pour-over lovers in the house At the cupping table, we expected what a well-processed washed coffee typically delivers: clean, chcoolatey, nutty, classic. What we got instead was a cup so fruit-forward it made us double-check the coffee. It's washed, and Ajay, the Q grader, verified this in his cupping notes. This coffee comes from the members of Duduma Farmers Producer Company, rooted in the Lamtaput and Nandapur blocks of Koraput district, Odisha. A community of 841 farmer members — 561 of them coffee growers — 80% from Scheduled Tribes communities, over 62% women . They don't just grow this coffee. They process it themselves, on their land, with their hands. With the intention to keep the value in the hands of the growers, we don't buy cherries. We source only what the community grows and processes — and when the quality meets specialty grade, we pay accordingly. This harvest earned a 15–20% premium over prevailing market prices. The cup earned it. We roasted this to a medium profile to let the fruitiness come forward cleanly. The result is a cup with gentle acidity, warmth, and just enough complexity to keep you interested — morning or evening, pour-over, Aeropress or even a fruity cold brew. A washed coffee that forgot the rules. Our favourite kind. Taste Profile Citrus, Chocolate, Slightly Fruity, Plum like, Nutty Origin Lamtaput, Koraput, Odisha Processing Traditional Washed Elevation 3000+ ft",https://caffinary.com/products/kora-zinfandel,https://cdn.shopify.com/s/files/1/0617/6273/2232/files/KZ-Tsp-Card_960ccbc0-565e-4155-852c-1027506d1a7f.png?v=1778093670,Coffee
Kora Zinfandel - Roasted on 17/06,Caffinary,625.0,200g,Medium Roast,,Koraput,"it themselves, on their land, with their hands","We have a new daily favourite for the pour-over lovers in the house At the cupping table, we expected what a well-processed washed coffee typically delivers: clean, chcoolatey, nutty, classic. What we got instead was a cup so fruit-forward it made us double-check the coffee. It's washed, and Ajay, the Q grader, verified this in his cupping notes. This coffee comes from the members of Duduma Farmers Producer Company, rooted in the Lamtaput and Nandapur blocks of Koraput district, Odisha. A community of 841 farmer members — 561 of them coffee growers — 80% from Scheduled Tribes communities, over 62% women . They don't just grow this coffee. They process it themselves, on their land, with their hands. With the intention to keep the value in the hands of the growers, we don't buy cherries. We source only what the community grows and processes — and when the quality meets specialty grade, we pay accordingly. This harvest earned a 15–20% premium over prevailing market prices. The cup earned it. We roasted this to a medium profile to let the fruitiness come forward cleanly. The result is a cup with gentle acidity, warmth, and just enough complexity to keep you interested — morning or evening, pour-over, Aeropress or even a fruity cold brew. A washed coffee that forgot the rules. Our favourite kind. Taste Profile Citrus, Chocolate, Slightly Fruity, Plum like, Nutty Origin Lamtaput, Koraput, Odisha Processing Traditional Washed Elevation 3000+ ft",https://caffinary.com/products/kora-zinfandel,https://cdn.shopify.com/s/files/1/0617/6273/2232/files/KZ-Tsp-Card_960ccbc0-565e-4155-852c-1027506d1a7f.png?v=1778093670,Coffee
Kora Zinfandel - Roasted on 17/06,Caffinary,795.0,250g,Medium Roast,,Koraput,"it themselves, on their land, with their hands","We have a new daily favourite for the pour-over lovers in the house At the cupping table, we expected what a well-processed washed coffee typically delivers: clean, chcoolatey, nutty, classic. What we got instead was a cup so fruit-forward it made us double-check the coffee. It's washed, and Ajay, the Q grader, verified this in his cupping notes. This coffee comes from the members of Duduma Farmers Producer Company, rooted in the Lamtaput and Nandapur blocks of Koraput district, Odisha. A community of 841 farmer members — 561 of them coffee growers — 80% from Scheduled Tribes communities, over 62% women . They don't just grow this coffee. They process it themselves, on their land, with their hands. With the intention to keep the value in the hands of the growers, we don't buy cherries. We source only what the community grows and processes — and when the quality meets specialty grade, we pay accordingly. This harvest earned a 15–20% premium over prevailing market prices. The cup earned it. We roasted this to a medium profile to let the fruitiness come forward cleanly. The result is a cup with gentle acidity, warmth, and just enough complexity to keep you interested — morning or evening, pour-over, Aeropress or even a fruity cold brew. A washed coffee that forgot the rules. Our favourite kind. Taste Profile Citrus, Chocolate, Slightly Fruity, Plum like, Nutty Origin Lamtaput, Koraput, Odisha Processing Traditional Washed Elevation 3000+ ft",https://caffinary.com/products/kora-zinfandel,https://cdn.shopify.com/s/files/1/0617/6273/2232/files/KZ-Tsp-Card_960ccbc0-565e-4155-852c-1027506d1a7f.png?v=1778093670,Coffee
Kora Zinfandel - Roasted on 17/06,Caffinary,1540.0,500g,Medium Roast,,Koraput,"it themselves, on their land, with their hands","We have a new daily favourite for the pour-over lovers in the house At the cupping table, we expected what a well-processed washed coffee typically delivers: clean, chcoolatey, nutty, classic. What we got instead was a cup so fruit-forward it made us double-check the coffee. It's washed, and Ajay, the Q grader, verified this in his cupping notes. This coffee comes from the members of Duduma Farmers Producer Company, rooted in the Lamtaput and Nandapur blocks of Koraput district, Odisha. A community of 841 farmer members — 561 of them coffee growers — 80% from Scheduled Tribes communities, over 62% women . They don't just grow this coffee. They process it themselves, on their land, with their hands. With the intention to keep the value in the hands of the growers, we don't buy cherries. We source only what the community grows and processes — and when the quality meets specialty grade, we pay accordingly. This harvest earned a 15–20% premium over prevailing market prices. The cup earned it. We roasted this to a medium profile to let the fruitiness come forward cleanly. The result is a cup with gentle acidity, warmth, and just enough complexity to keep you interested — morning or evening, pour-over, Aeropress or even a fruity cold brew. A washed coffee that forgot the rules. Our favourite kind. Taste Profile Citrus, Chocolate, Slightly Fruity, Plum like, Nutty Origin Lamtaput, Koraput, Odisha Processing Traditional Washed Elevation 3000+ ft",https://caffinary.com/products/kora-zinfandel,https://cdn.shopify.com/s/files/1/0617/6273/2232/files/KZ-Tsp-Card_960ccbc0-565e-4155-852c-1027506d1a7f.png?v=1778093670,Coffee
Kora Zinfandel - Roasted on 17/06,Caffinary,170.0,50g,Medium Roast,,Koraput,"it themselves, on their land, with their hands","We have a new daily favourite for the pour-over lovers in the house At the cupping table, we expected what a well-processed washed coffee typically delivers: clean, chcoolatey, nutty, classic. What we got instead was a cup so fruit-forward it made us double-check the coffee. It's washed, and Ajay, the Q grader, verified this in his cupping notes. This coffee comes from the members of Duduma Farmers Producer Company, rooted in the Lamtaput and Nandapur blocks of Koraput district, Odisha. A community of 841 farmer members — 561 of them coffee growers — 80% from Scheduled Tribes communities, over 62% women . They don't just grow this coffee. They process it themselves, on their land, with their hands. With the intention to keep the value in the hands of the growers, we don't buy cherries. We source only what the community grows and processes — and when the quality meets specialty grade, we pay accordingly. This harvest earned a 15–20% premium over prevailing market prices. The cup earned it. We roasted this to a medium profile to let the fruitiness come forward cleanly. The result is a cup with gentle acidity, warmth, and just enough complexity to keep you interested — morning or evening, pour-over, Aeropress or even a fruity cold brew. A washed coffee that forgot the rules. Our favourite kind. Taste Profile Citrus, Chocolate, Slightly Fruity, Plum like, Nutty Origin Lamtaput, Koraput, Odisha Processing Traditional Washed Elevation 3000+ ft",https://caffinary.com/products/kora-zinfandel,https://cdn.shopify.com/s/files/1/0617/6273/2232/files/KZ-Tsp-Card_960ccbc0-565e-4155-852c-1027506d1a7f.png?v=1778093670,Coffee
Kora Zinfandel - Roasted on 17/06,Caffinary,320.0,100g,Medium Roast,,Koraput,"it themselves, on their land, with their hands","We have a new daily favourite for the pour-over lovers in the house At the cupping table, we expected what a well-processed washed coffee typically delivers: clean, chcoolatey, nutty, classic. What we got instead was a cup so fruit-forward it made us double-check the coffee. It's washed, and Ajay, the Q grader, verified this in his cupping notes. This coffee comes from the members of Duduma Farmers Producer Company, rooted in the Lamtaput and Nandapur blocks of Koraput district, Odisha. A community of 841 farmer members — 561 of them coffee growers — 80% from Scheduled Tribes communities, over 62% women . They don't just grow this coffee. They process it themselves, on their land, with their hands. With the intention to keep the value in the hands of the growers, we don't buy cherries. We source only what the community grows and processes — and when the quality meets specialty grade, we pay accordingly. This harvest earned a 15–20% premium over prevailing market prices. The cup earned it. We roasted this to a medium profile to let the fruitiness come forward cleanly. The result is a cup with gentle acidity, warmth, and just enough complexity to keep you interested — morning or evening, pour-over, Aeropress or even a fruity cold brew. A washed coffee that forgot the rules. Our favourite kind. Taste Profile Citrus, Chocolate, Slightly Fruity, Plum like, Nutty Origin Lamtaput, Koraput, Odisha Processing Traditional Washed Elevation 3000+ ft",https://caffinary.com/products/kora-zinfandel,https://cdn.shopify.com/s/files/1/0617/6273/2232/files/KZ-Tsp-Card_960ccbc0-565e-4155-852c-1027506d1a7f.png?v=1778093670,Coffee
Kora Zinfandel - Roasted on 17/06,Caffinary,510.0,150g,Medium Roast,,Koraput,"it themselves, on their land, with their hands","We have a new daily favourite for the pour-over lovers in the house At the cupping table, we expected what a well-processed washed coffee typically delivers: clean, chcoolatey, nutty, classic. What we got instead was a cup so fruit-forward it made us double-check the coffee. It's washed, and Ajay, the Q grader, verified this in his cupping notes. This coffee comes from the members of Duduma Farmers Producer Company, rooted in the Lamtaput and Nandapur blocks of Koraput district, Odisha. A community of 841 farmer members — 561 of them coffee growers — 80% from Scheduled Tribes communities, over 62% women . They don't just grow this coffee. They process it themselves, on their land, with their hands. With the intention to keep the value in the hands of the growers, we don't buy cherries. We source only what the community grows and processes — and when the quality meets specialty grade, we pay accordingly. This harvest earned a 15–20% premium over prevailing market prices. The cup earned it. We roasted this to a medium profile to let the fruitiness come forward cleanly. The result is a cup with gentle acidity, warmth, and just enough complexity to keep you interested — morning or evening, pour-over, Aeropress or even a fruity cold brew. A washed coffee that forgot the rules. Our favourite kind. Taste Profile Citrus, Chocolate, Slightly Fruity, Plum like, Nutty Origin Lamtaput, Koraput, Odisha Processing Traditional Washed Elevation 3000+ ft",https://caffinary.com/products/kora-zinfandel,https://cdn.shopify.com/s/files/1/0617/6273/2232/files/KZ-Tsp-Card_960ccbc0-565e-4155-852c-1027506d1a7f.png?v=1778093670,Coffee
Kora Zinfandel - Roasted on 17/06,Caffinary,625.0,200g,Medium Roast,,Koraput,"it themselves, on their land, with their hands","We have a new daily favourite for the pour-over lovers in the house At the cupping table, we expected what a well-processed washed coffee typically delivers: clean, chcoolatey, nutty, classic. What we got instead was a cup so fruit-forward it made us double-check the coffee. It's washed, and Ajay, the Q grader, verified this in his cupping notes. This coffee comes from the members of Duduma Farmers Producer Company, rooted in the Lamtaput and Nandapur blocks of Koraput district, Odisha. A community of 841 farmer members — 561 of them coffee growers — 80% from Scheduled Tribes communities, over 62% women . They don't just grow this coffee. They process it themselves, on their land, with their hands. With the intention to keep the value in the hands of the growers, we don't buy cherries. We source only what the community grows and processes — and when the quality meets specialty grade, we pay accordingly. This harvest earned a 15–20% premium over prevailing market prices. The cup earned it. We roasted this to a medium profile to let the fruitiness come forward cleanly. The result is a cup with gentle acidity, warmth, and just enough complexity to keep you interested — morning or evening, pour-over, Aeropress or even a fruity cold brew. A washed coffee that forgot the rules. Our favourite kind. Taste Profile Citrus, Chocolate, Slightly Fruity, Plum like, Nutty Origin Lamtaput, Koraput, Odisha Processing Traditional Washed Elevation 3000+ ft",https://caffinary.com/products/kora-zinfandel,https://cdn.shopify.com/s/files/1/0617/6273/2232/files/KZ-Tsp-Card_960ccbc0-565e-4155-852c-1027506d1a7f.png?v=1778093670,Coffee
Kora Zinfandel - Roasted on 17/06,Caffinary,795.0,250g,Medium Roast,,Koraput,"it themselves, on their land, with their hands","We have a new daily favourite for the pour-over lovers in the house At the cupping table, we expected what a well-processed washed coffee typically delivers: clean, chcoolatey, nutty, classic. What we got instead was a cup so fruit-forward it made us double-check the coffee. It's washed, and Ajay, the Q grader, verified this in his cupping notes. This coffee comes from the members of Duduma Farmers Producer Company, rooted in the Lamtaput and Nandapur blocks of Koraput district, Odisha. A community of 841 farmer members — 561 of them coffee growers — 80% from Scheduled Tribes communities, over 62% women . They don't just grow this coffee. They process it themselves, on their land, with their hands. With the intention to keep the value in the hands of the growers, we don't buy cherries. We source only what the community grows and processes — and when the quality meets specialty grade, we pay accordingly. This harvest earned a 15–20% premium over prevailing market prices. The cup earned it. We roasted this to a medium profile to let the fruitiness come forward cleanly. The result is a cup with gentle acidity, warmth, and just enough complexity to keep you interested — morning or evening, pour-over, Aeropress or even a fruity cold brew. A washed coffee that forgot the rules. Our favourite kind. Taste Profile Citrus, Chocolate, Slightly Fruity, Plum like, Nutty Origin Lamtaput, Koraput, Odisha Processing Traditional Washed Elevation 3000+ ft",https://caffinary.com/products/kora-zinfandel,https://cdn.shopify.com/s/files/1/0617/6273/2232/files/KZ-Tsp-Card_960ccbc0-565e-4155-852c-1027506d1a7f.png?v=1778093670,Coffee
Kora Zinfandel - Roasted on 17/06,Caffinary,1540.0,500g,Medium Roast,,Koraput,"it themselves, on their land, with their hands","We have a new daily favourite for the pour-over lovers in the house At the cupping table, we expected what a well-processed washed coffee typically delivers: clean, chcoolatey, nutty, classic. What we got instead was a cup so fruit-forward it made us double-check the coffee. It's washed, and Ajay, the Q grader, verified this in his cupping notes. This coffee comes from the members of Duduma Farmers Producer Company, rooted in the Lamtaput and Nandapur blocks of Koraput district, Odisha. A community of 841 farmer members — 561 of them coffee growers — 80% from Scheduled Tribes communities, over 62% women . They don't just grow this coffee. They process it themselves, on their land, with their hands. With the intention to keep the value in the hands of the growers, we don't buy cherries. We source only what the community grows and processes — and when the quality meets specialty grade, we pay accordingly. This harvest earned a 15–20% premium over prevailing market prices. The cup earned it. We roasted this to a medium profile to let the fruitiness come forward cleanly. The result is a cup with gentle acidity, warmth, and just enough complexity to keep you interested — morning or evening, pour-over, Aeropress or even a fruity cold brew. A washed coffee that forgot the rules. Our favourite kind. Taste Profile Citrus, Chocolate, Slightly Fruity, Plum like, Nutty Origin Lamtaput, Koraput, Odisha Processing Traditional Washed Elevation 3000+ ft",https://caffinary.com/products/kora-zinfandel,https://cdn.shopify.com/s/files/1/0617/6273/2232/files/KZ-Tsp-Card_960ccbc0-565e-4155-852c-1027506d1a7f.png?v=1778093670,Coffee
Kora Zinfandel - Roasted on 17/06,Caffinary,170.0,50g,Medium Roast,,Koraput,"it themselves, on their land, with their hands","We have a new daily favourite for the pour-over lovers in the house At the cupping table, we expected what a well-processed washed coffee typically delivers: clean, chcoolatey, nutty, classic. What we got instead was a cup so fruit-forward it made us double-check the coffee. It's washed, and Ajay, the Q grader, verified this in his cupping notes. This coffee comes from the members of Duduma Farmers Producer Company, rooted in the Lamtaput and Nandapur blocks of Koraput district, Odisha. A community of 841 farmer members — 561 of them coffee growers — 80% from Scheduled Tribes communities, over 62% women . They don't just grow this coffee. They process it themselves, on their land, with their hands. With the intention to keep the value in the hands of the growers, we don't buy cherries. We source only what the community grows and processes — and when the quality meets specialty grade, we pay accordingly. This harvest earned a 15–20% premium over prevailing market prices. The cup earned it. We roasted this to a medium profile to let the fruitiness come forward cleanly. The result is a cup with gentle acidity, warmth, and just enough complexity to keep you interested — morning or evening, pour-over, Aeropress or even a fruity cold brew. A washed coffee that forgot the rules. Our favourite kind. Taste Profile Citrus, Chocolate, Slightly Fruity, Plum like, Nutty Origin Lamtaput, Koraput, Odisha Processing Traditional Washed Elevation 3000+ ft",https://caffinary.com/products/kora-zinfandel,https://cdn.shopify.com/s/files/1/0617/6273/2232/files/KZ-Tsp-Card_960ccbc0-565e-4155-852c-1027506d1a7f.png?v=1778093670,Coffee
Kora Zinfandel - Roasted on 17/06,Caffinary,320.0,100g,Medium Roast,,Koraput,"it themselves, on their land, with their hands","We have a new daily favourite for the pour-over lovers in the house At the cupping table, we expected what a well-processed washed coffee typically delivers: clean, chcoolatey, nutty, classic. What we got instead was a cup so fruit-forward it made us double-check the coffee. It's washed, and Ajay, the Q grader, verified this in his cupping notes. This coffee comes from the members of Duduma Farmers Producer Company, rooted in the Lamtaput and Nandapur blocks of Koraput district, Odisha. A community of 841 farmer members — 561 of them coffee growers — 80% from Scheduled Tribes communities, over 62% women . They don't just grow this coffee. They process it themselves, on their land, with their hands. With the intention to keep the value in the hands of the growers, we don't buy cherries. We source only what the community grows and processes — and when the quality meets specialty grade, we pay accordingly. This harvest earned a 15–20% premium over prevailing market prices. The cup earned it. We roasted this to a medium profile to let the fruitiness come forward cleanly. The result is a cup with gentle acidity, warmth, and just enough complexity to keep you interested — morning or evening, pour-over, Aeropress or even a fruity cold brew. A washed coffee that forgot the rules. Our favourite kind. Taste Profile Citrus, Chocolate, Slightly Fruity, Plum like, Nutty Origin Lamtaput, Koraput, Odisha Processing Traditional Washed Elevation 3000+ ft",https://caffinary.com/products/kora-zinfandel,https://cdn.shopify.com/s/files/1/0617/6273/2232/files/KZ-Tsp-Card_960ccbc0-565e-4155-852c-1027506d1a7f.png?v=1778093670,Coffee
Kora Zinfandel - Roasted on 17/06,Caffinary,510.0,150g,Medium Roast,,Koraput,"it themselves, on their land, with their hands","We have a new daily favourite for the pour-over lovers in the house At the cupping table, we expected what a well-processed washed coffee typically delivers: clean, chcoolatey, nutty, classic. What we got instead was a cup so fruit-forward it made us double-check the coffee. It's washed, and Ajay, the Q grader, verified this in his cupping notes. This coffee comes from the members of Duduma Farmers Producer Company, rooted in the Lamtaput and Nandapur blocks of Koraput district, Odisha. A community of 841 farmer members — 561 of them coffee growers — 80% from Scheduled Tribes communities, over 62% women . They don't just grow this coffee. They process it themselves, on their land, with their hands. With the intention to keep the value in the hands of the growers, we don't buy cherries. We source only what the community grows and processes — and when the quality meets specialty grade, we pay accordingly. This harvest earned a 15–20% premium over prevailing market prices. The cup earned it. We roasted this to a medium profile to let the fruitiness come forward cleanly. The result is a cup with gentle acidity, warmth, and just enough complexity to keep you interested — morning or evening, pour-over, Aeropress or even a fruity cold brew. A washed coffee that forgot the rules. Our favourite kind. Taste Profile Citrus, Chocolate, Slightly Fruity, Plum like, Nutty Origin Lamtaput, Koraput, Odisha Processing Traditional Washed Elevation 3000+ ft",https://caffinary.com/products/kora-zinfandel,https://cdn.shopify.com/s/files/1/0617/6273/2232/files/KZ-Tsp-Card_960ccbc0-565e-4155-852c-1027506d1a7f.png?v=1778093670,Coffee
Kora Zinfandel - Roasted on 17/06,Caffinary,625.0,200g,Medium Roast,,Koraput,"it themselves, on their land, with their hands","We have a new daily favourite for the pour-over lovers in the house At the cupping table, we expected what a well-processed washed coffee typically delivers: clean, chcoolatey, nutty, classic. What we got instead was a cup so fruit-forward it made us double-check the coffee. It's washed, and Ajay, the Q grader, verified this in his cupping notes. This coffee comes from the members of Duduma Farmers Producer Company, rooted in the Lamtaput and Nandapur blocks of Koraput district, Odisha. A community of 841 farmer members — 561 of them coffee growers — 80% from Scheduled Tribes communities, over 62% women . They don't just grow this coffee. They process it themselves, on their land, with their hands. With the intention to keep the value in the hands of the growers, we don't buy cherries. We source only what the community grows and processes — and when the quality meets specialty grade, we pay accordingly. This harvest earned a 15–20% premium over prevailing market prices. The cup earned it. We roasted this to a medium profile to let the fruitiness come forward cleanly. The result is a cup with gentle acidity, warmth, and just enough complexity to keep you interested — morning or evening, pour-over, Aeropress or even a fruity cold brew. A washed coffee that forgot the rules. Our favourite kind. Taste Profile Citrus, Chocolate, Slightly Fruity, Plum like, Nutty Origin Lamtaput, Koraput, Odisha Processing Traditional Washed Elevation 3000+ ft",https://caffinary.com/products/kora-zinfandel,https://cdn.shopify.com/s/files/1/0617/6273/2232/files/KZ-Tsp-Card_960ccbc0-565e-4155-852c-1027506d1a7f.png?v=1778093670,Coffee
Kora Zinfandel - Roasted on 17/06,Caffinary,795.0,250g,Medium Roast,,Koraput,"it themselves, on their land, with their hands","We have a new daily favourite for the pour-over lovers in the house At the cupping table, we expected what a well-processed washed coffee typically delivers: clean, chcoolatey, nutty, classic. What we got instead was a cup so fruit-forward it made us double-check the coffee. It's washed, and Ajay, the Q grader, verified this in his cupping notes. This coffee comes from the members of Duduma Farmers Producer Company, rooted in the Lamtaput and Nandapur blocks of Koraput district, Odisha. A community of 841 farmer members — 561 of them coffee growers — 80% from Scheduled Tribes communities, over 62% women . They don't just grow this coffee. They process it themselves, on their land, with their hands. With the intention to keep the value in the hands of the growers, we don't buy cherries. We source only what the community grows and processes — and when the quality meets specialty grade, we pay accordingly. This harvest earned a 15–20% premium over prevailing market prices. The cup earned it. We roasted this to a medium profile to let the fruitiness come forward cleanly. The result is a cup with gentle acidity, warmth, and just enough complexity to keep you interested — morning or evening, pour-over, Aeropress or even a fruity cold brew. A washed coffee that forgot the rules. Our favourite kind. Taste Profile Citrus, Chocolate, Slightly Fruity, Plum like, Nutty Origin Lamtaput, Koraput, Odisha Processing Traditional Washed Elevation 3000+ ft",https://caffinary.com/products/kora-zinfandel,https://cdn.shopify.com/s/files/1/0617/6273/2232/files/KZ-Tsp-Card_960ccbc0-565e-4155-852c-1027506d1a7f.png?v=1778093670,Coffee
Kora Zinfandel - Roasted on 17/06,Caffinary,1540.0,500g,Medium Roast,,Koraput,"it themselves, on their land, with their hands","We have a new daily favourite for the pour-over lovers in the house At the cupping table, we expected what a well-processed washed coffee typically delivers: clean, chcoolatey, nutty, classic. What we got instead was a cup so fruit-forward it made us double-check the coffee. It's washed, and Ajay, the Q grader, verified this in his cupping notes. This coffee comes from the members of Duduma Farmers Producer Company, rooted in the Lamtaput and Nandapur blocks of Koraput district, Odisha. A community of 841 farmer members — 561 of them coffee growers — 80% from Scheduled Tribes communities, over 62% women . They don't just grow this coffee. They process it themselves, on their land, with their hands. With the intention to keep the value in the hands of the growers, we don't buy cherries. We source only what the community grows and processes — and when the quality meets specialty grade, we pay accordingly. This harvest earned a 15–20% premium over prevailing market prices. The cup earned it. We roasted this to a medium profile to let the fruitiness come forward cleanly. The result is a cup with gentle acidity, warmth, and just enough complexity to keep you interested — morning or evening, pour-over, Aeropress or even a fruity cold brew. A washed coffee that forgot the rules. Our favourite kind. Taste Profile Citrus, Chocolate, Slightly Fruity, Plum like, Nutty Origin Lamtaput, Koraput, Odisha Processing Traditional Washed Elevation 3000+ ft",https://caffinary.com/products/kora-zinfandel,https://cdn.shopify.com/s/files/1/0617/6273/2232/files/KZ-Tsp-Card_960ccbc0-565e-4155-852c-1027506d1a7f.png?v=1778093670,Coffee
Kora Zinfandel - Roasted on 17/06,Caffinary,170.0,50g,Medium Roast,,Koraput,"it themselves, on their land, with their hands","We have a new daily favourite for the pour-over lovers in the house At the cupping table, we expected what a well-processed washed coffee typically delivers: clean, chcoolatey, nutty, classic. What we got instead was a cup so fruit-forward it made us double-check the coffee. It's washed, and Ajay, the Q grader, verified this in his cupping notes. This coffee comes from the members of Duduma Farmers Producer Company, rooted in the Lamtaput and Nandapur blocks of Koraput district, Odisha. A community of 841 farmer members — 561 of them coffee growers — 80% from Scheduled Tribes communities, over 62% women . They don't just grow this coffee. They process it themselves, on their land, with their hands. With the intention to keep the value in the hands of the growers, we don't buy cherries. We source only what the community grows and processes — and when the quality meets specialty grade, we pay accordingly. This harvest earned a 15–20% premium over prevailing market prices. The cup earned it. We roasted this to a medium profile to let the fruitiness come forward cleanly. The result is a cup with gentle acidity, warmth, and just enough complexity to keep you interested — morning or evening, pour-over, Aeropress or even a fruity cold brew. A washed coffee that forgot the rules. Our favourite kind. Taste Profile Citrus, Chocolate, Slightly Fruity, Plum like, Nutty Origin Lamtaput, Koraput, Odisha Processing Traditional Washed Elevation 3000+ ft",https://caffinary.com/products/kora-zinfandel,https://cdn.shopify.com/s/files/1/0617/6273/2232/files/KZ-Tsp-Card_960ccbc0-565e-4155-852c-1027506d1a7f.png?v=1778093670,Coffee
Kora Zinfandel - Roasted on 17/06,Caffinary,320.0,100g,Medium Roast,,Koraput,"it themselves, on their land, with their hands","We have a new daily favourite for the pour-over lovers in the house At the cupping table, we expected what a well-processed washed coffee typically delivers: clean, chcoolatey, nutty, classic. What we got instead was a cup so fruit-forward it made us double-check the coffee. It's washed, and Ajay, the Q grader, verified this in his cupping notes. This coffee comes from the members of Duduma Farmers Producer Company, rooted in the Lamtaput and Nandapur blocks of Koraput district, Odisha. A community of 841 farmer members — 561 of them coffee growers — 80% from Scheduled Tribes communities, over 62% women . They don't just grow this coffee. They process it themselves, on their land, with their hands. With the intention to keep the value in the hands of the growers, we don't buy cherries. We source only what the community grows and processes — and when the quality meets specialty grade, we pay accordingly. This harvest earned a 15–20% premium over prevailing market prices. The cup earned it. We roasted this to a medium profile to let the fruitiness come forward cleanly. The result is a cup with gentle acidity, warmth, and just enough complexity to keep you interested — morning or evening, pour-over, Aeropress or even a fruity cold brew. A washed coffee that forgot the rules. Our favourite kind. Taste Profile Citrus, Chocolate, Slightly Fruity, Plum like, Nutty Origin Lamtaput, Koraput, Odisha Processing Traditional Washed Elevation 3000+ ft",https://caffinary.com/products/kora-zinfandel,https://cdn.shopify.com/s/files/1/0617/6273/2232/files/KZ-Tsp-Card_960ccbc0-565e-4155-852c-1027506d1a7f.png?v=1778093670,Coffee
